Account,Identifier,Account ID,Transaction Id,Currency,Transaction Type,Post Date,Amount
LCFHR - PNC Trading 9924,CCYUSD,369038,1721888845,USD,Cash Transfer,11/25/2025,-98000000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1721859815,USD,Cash Transfer,11/25/2025,-98000000.00
LCC-PNC-8268,CCYUSD,369052,1721859738,USD,Cash Transfer,11/25/2025,-98000000.00
LCF-PNC-Trading9916,CCYUSD,369041,1721860049,USD,Cash Transfer,11/25/2025,-97975486.24
LCFHR - PNC Trading 9924,CCYUSD,369038,1715446336,USD,Cash Transfer,11/18/2025,-57592583.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1706309641,USD,Cash Transfer,11/5/2025,-50350316.75
LCFHR - PNC Trading 9924,CCYUSD,369038,1716342322,USD,Cash Transfer,11/19/2025,-49000000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1716342377,USD,Cash Transfer,11/19/2025,-49000000.00
LCC-PNC-8268,CCYUSD,369052,1716342494,USD,Cash Transfer,11/19/2025,-49000000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1707275331,USD,Cash Transfer,11/6/2025,-46055000.00
LCC-PNC-8268,CCYUSD,369052,1707275883,USD,Cash Transfer,11/6/2025,-46055000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275477,USD,Cash Transfer,11/6/2025,-45000000.00
LCF-PNC-Trading9916,CCYUSD,369041,1707275393,USD,Cash Transfer,11/6/2025,-45000000.00
LCR3-PNC-Trading6047,CCYUSD,369044,1707275431,USD,Cash Transfer,11/6/2025,-45000000.00
LCREF-PNC-Trading7285,CCYUSD,369053,1706309667,USD,Cash Transfer,11/5/2025,-44500000.00
LCREP-PNC-Trading7277,CCYUSD,369050,1706309674,USD,Cash Transfer,11/5/2025,-44055000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1705745266,USD,Cash Transfer,11/4/2025,-22520000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1714404908,USD,Cash Transfer,11/17/2025,-20070850.86
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275484,USD,Cash Transfer,11/6/2025,-20020755.56
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275459,USD,Cash Transfer,11/6/2025,-18000000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1721860043,USD,Cash Transfer,11/25/2025,-17970000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1721888917,USD,Cash Transfer,11/25/2025,-17970000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1714389415,USD,Cash Transfer,11/17/2025,-16500000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1704283893,USD,Cash Transfer,11/3/2025,-16500000.00
LCFP-JPM FIPB-2LAD,CCYUSD,369092,1714027462,USD,Cash Transfer,11/17/2025,-16500000.00
LCR3-PNC-Trading6047,CCYUSD,369044,1704283919,USD,Cash Transfer,11/3/2025,-16160000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1717299750,USD,Cash Transfer,11/20/2025,-15512681.98
LCFHR - PNC Trading 9924,CCYUSD,369038,1721888808,USD,Cash Transfer,11/25/2025,-15500000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1721859739,USD,Cash Transfer,11/25/2025,-15500000.00
LCC-PNC-8268,CCYUSD,369052,1721859940,USD,Cash Transfer,11/25/2025,-15500000.00
LCF-PNC-Trading9916,CCYUSD,369041,1721860113,USD,Cash Transfer,11/25/2025,-15148235.65
LCFHR - PNC Trading 9924,CCYUSD,369038,1710390415,USD,Cash Transfer,11/12/2025,-14480161.80
LCFHR - PNC Trading 9924,CCYUSD,369038,1709649665,USD,Cash Transfer,11/10/2025,-14078263.67
LCFHR - PNC Trading 9924,CCYUSD,369038,1719434901,USD,Cash Transfer,11/24/2025,-13833801.58
LCF-PNC-Trading9916,CCYUSD,369041,1717299770,USD,Cash Transfer,11/20/2025,-13500000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1717299722,USD,Cash Transfer,11/20/2025,-13387500.00
